company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
Frontify,"Jul 28, 2025 12.57 PM",save | hide,Frontify is a brand management software company that offers solutions for organizing_ frontify com fr ontify,frontify.com,201-500,Private Equity,2013,,80.6,,,"Unterstrasse 4; St Gallen, St Gallen 9000, CH",3% | 5% | 3% | 11% | 68 % | 141% | 13%,,,"save | hide | Frontify | Jul 28,2025 12.57 PM | Frontify is a brand management software | company that offers solutions for organizing_ | frontify com | 201-500 | 316 | Switzerland | St. Gallen | St. Gallen | fr ontify | Load contacts | ntacts | Private Equity | 2013 | 80.6 | Sep 3 | 26, 2021 | Series C | Blossom Capital | Corporate | Revaia | Sictic | TwicPics by Fronti | nia | 36 | nia | 3% | 5% | 3% | 11% | 68 % | 141% | 13% | Unterstrasse 4; St Gallen, St Gallen 9000, CH | nla | nla | nfa | nla | nfa"
GearLaunch,"Jul 28, 2025 12.57 PM",save | hide,GearLaunch is an e-commerce platform that specializes in print-on-demand services __. gearlaunch com (USA) #arlaunch,gearlaunch.com,51-200,Venture Capital,2014,,4.8,,,"5570 W 1730 S; Ste 900; Salt Lake City, Utah 84104,US","2% | 6% | 6 % | 26% | 68% | 104% | 132% | ""185%",,,"save | hide | GearLaunch | Jul 28,2025 12.57 PM | GearLaunch is an e-commerce platform that | specializes in print-on-demand services __. | gearlaunch com | 51-200 | 237 | (USA) | United States | Utah | Salt Lake City | #arlaunch | Load contacts | ntacts | Venture Capital | 2014 | 4.8 | 4.8 | Jul 25, 2017 | Series A | nla | nla | GrowthX | ~nfa | nla | nia | nla | 2% | 6% | 6 % | 26% | 68% | 104% | 132% | ""185% | nla | 5570 W 1730 S; Ste 900; Salt Lake City, Utah 84104,US | nia | nla | nla | nla | nfal"
Geniemode,"Jul 28, 2025 12.57 PM",save | hide,platform that specializes in supply chain__. Geniemode is tech-powered sourcing guniemode,geniemode.com,201-500,Private Equity,2021,,87.2,,,"Gurgaon, Haryana 122015, IN","-4% | 0% | 4% | 23% | 137% | 2,533% | 54%",,,"save | hide | Geniemode | Jul 28,2025 12.57 PM | platform that specializes in supply chain__. | Geniemode is | tech-powered sourcing | geniemode.com | 201-500 | 237 | India | Haryana | Gurugram | guniemode | Load contacts | ntacts | Private Equity | 2021 | 87.2 | Feb 23, 2025 | Series C | The Fundamentum Partner: | nla | Multiples Alternate | nla | nla | nla | 26 | nla | -4% | 0% | 4% | 23% | 137% | 2,533% | nia | 54% | Gurgaon, Haryana 122015, IN | nia | nla | nfa | nla | nfa"
GoExpedi,"Jul 28, 2025 12.57 PM",save | hide,GoExpedi is an industrial supply company that revolutionizes the supply chain for heavy_. (USA) guexpedi,goexpedi.com,51-200,Private Equity,2017,,108.3,,,"8844 N Sam Houston Pkwy W; Suite 210; Houston, Texas 77064,",-14% | -16 % | 16 % | -16 % | -49% | -66 % | 68% | -47%,,,"save | hide | GoExpedi | Jul 28, 2025 12.57 PM | GoExpedi is an industrial supply company that | revolutionizes the supply chain for heavy_. | goexpedi.com | 51-200 | (USA) | United States | Texas | Houston | guexpedi | Load contacts | ntacts | Private Equity | 2017 | 108.3 | Nov 22, 2022 | Series D | Blue Bear Capital | nla | bossa invest | nla | nla | nla | nla | -14% | -16 % | 16 % | -16 % | -49% | -66 % | 68% | -47% | nja | 8844 N Sam Houston Pkwy W; Suite 210; Houston, Texas 77064, | US | nfa | nja | nla | nla | nla"
GoFreight,"Jul 28, 2025 12.57 PM",save | hide,GoFreight is in freight forwarding solutions. They software company specia provide _. llizing gofreight com Los Angeles hilrd-core - technology-corp_,gofreight.com,51-200,Venture Capital,2017,,28,Series,Cornerstone Ventures U4;,"Los Angeles, US",~1% | ~0% | -0% | 2% | 11% | -22% | 44% | 192% | -17%,,,"save | hide | GoFreight | Jul 28, 2025 12.57 PM | GoFreight is | in freight forwarding solutions. They | software company specia | provide _. | llizing | gofreight com | 51-200 | United States | (USA) | California | Los Angeles | hilrd-core - | technology-corp_ | Load contacts | ntacts | Venture Capital | 2017 | 28 | 24.1 | Nov 12, 2022 | Series | Cornerstone Ventures U4; | nla | LFX Venture Partn | nla | nla | nla | nla | ~1% | ~0% | -0% | 2% | 11% | -22% | 44% | 192% | -17% | Los Angeles, US | nla | nla | nla | nla | ~nla"
Gokomodo,"Jul 28, 2025 12.57 PM",hide,company that provides an agricultural supply chain wide range of_ gukomodo,gokomodo.com,51-200,Venture Capital,2019,,26,Series,East Ventures,"North Tower; Lantai 18; Jakarta, DKI Jakarta 12930, ID","7% | 7% | 18% | 18 % | 29% | 161% | 750% | 1,754% | ~37%",,,"hide | Gokomodo | Jul 28, 2025 12.57 PM | company that provides | Gokomodo | an agricultural supply chain | wide range of_ | gokomodo.com | 51-200 | 204 | Indonesia | Jakarta | Jakarta | gukomodo | Load contacts | ntacts | Venture Capital | 2019 | 26 | Sep | 2022 | Series | East Ventures | nla | East Ventures | nla | nla | nja | nja | 7% | 7% | 18% | 18 % | 29% | 161% | 750% | 1,754% | ~37% | JL Jenderal Sudirman Kav 45-46; Sampoerna Strategic Square, | North Tower; Lantai 18; Jakarta, DKI Jakarta 12930, ID | nla | nla | nla | nla | nla"
Goodshutfle,"Jul 28, 2025 12.57 PM",save,"Goodshuffle Pro is a software company that provides event rental management solutions. pro goodshuffle com Columbia Washington, DC.",goodshuffle.com,11-50,Venture Capital,2015,,5.3,Series,FINTOP Capital,,,,,"save | (hide | Goodshutfle | Jul 28, 2025 12.57 PM | Goodshuffle Pro is a software company that | provides event rental management solutions. | pro goodshuffle com | 11-50 | United States | (USA) | District Of | Columbia | Washington, | DC. | Load contacts | ntacts | Venture Capital | 2015 | 5.3 | Feb | 2024 | Series | FINTOP Capital | nla | FINTOP Capital | nla | nla | nla | nla | nla | nla | ~nla | nla | nla | nla | nla | nla | ~nla | nla | nfa | nfa | nfa | nla | ~nla"
GreenPocket GmbH,"Jul 28, 2025 12.57 PM",gave | hide,GreenPocket GmbH F energy management solutions company specializing They . ~offer greenpocket com eenpocket-gmbh,greenpocket.com,11-50,Venture Capital,2009,,11.6,,,"SchanzenstraBe 6-20, Labor 3.09; Koln; 51063, DE",18 % | 25% | 18 % | 22% | ~2% | ~4% | -47%,,,"Gave | hide | GreenPocket GmbH | Jul 28, 2025 12.57 PM | GreenPocket GmbH F | energy management | solutions | company specializing | They . | ~offer | greenpocket com | 11-50 | Germany | nla | nla | eenpocket-gmbh | Load contacts | ntacts | Venture Capital | 2009 | 11.6 | 3.6 | Aug 29, 2018 | Series ! | nla | nla | betafabrik GmbH | nla | nla | nla | nla | 18 % | 25% | 18 % | 22% | nla | ~2% | ~4% | -47% | SchanzenstraBe 6-20, Labor 3.09; Koln; 51063, DE | nla | nla | nla | nla"
GreyOrange,"Jul 28, 2025 12.57 PM",save,specializing in warehouse automation and _ GreyOrange is a technology company greyorange com (USA) gugreyorange,greyorange.com,"501-1,000",Venture Capital,2012,,436.8,,,"120; Roswell, Georgia 30076, US",0% | 3% | 5% | 3% | 10% | 38% | 64% | -10%,,,"save | (hide | GreyOrange | Jul 28,2025 12.57 PM | specializing in warehouse automation and _ | GreyOrange is a technology company | greyorange com | 501-1,000 | 968 | (USA) | United States | Georgia | Roswell | gugreyorange | Load contacts | ntacts | Venture Capital | 2012 | 436.8 | 135 | Dec 19, 2023 | Series D | Anthelion Capital | Corporate | The Hatch Group | nla | nla | 2M - 2M | nia | 0% | 3% | 5% | 3% | 10% | 38% | 64% | -10% | 660 Hembree | Pkwy; ~ | 120; Roswell, Georgia 30076, US | nla | nla | nia | nla | nla"
Group,"Jul 28, 2025 12.57 PM",hide,Enotek Group manufacturer and software solutions provid_ logistics equipment enotekcom Asliftchina,com.cn,"""201-500",Venture Capital,2008,,15.6,Series,octcapital com.cn,"No. 2337 Gudai Road, Minhang District; Shanghai,",~2% | ~3% | 43% | ~3% | 3% | ~4%,,,"Cave | hide | Enotek = | Group | Jul 28, 2025 12.57 PM | Enotek Group | manufacturer and software solutions provid_ | logistics equipment | enotekcom | ""201-500 | China | Shanghai | Shanghai | Asliftchina | Load contacts | ntacts | Venture | Venture Capital | Capital | 2008 | 15.6 | 15.6 | Jan | 2022 | Series | octcapital com.cn | nla | octcapital com.cn | nla | nfa | nfa | nla | ~2% | ~3% | 43% | ~3% | 3% | ~4% | nfa | nfa | nfa | nla | 9/F, Tower | 201199, CN | No. 2337 Gudai Road, Minhang District; Shanghai, | nfa | ~nla | nfa"
Grubtech,"Jul 28, 2025 12.57 PM",save | hide,specializing in technology company restaura management__ grubtech com United Arab Emirates Dubai Dubai giubtech,grubtech.com,51-200,Venture Capital,2019,,33.4,Series,Addition,Al Abraj Street; 1201; Dubai; AE,"4% | 7% | 22% | 33% | 40% | ""213% | 840%",,,"save | hide | Grubtech | Jul 28,2025 12.57 PM | specializing in | Grubtech | technology company | restaura | management__ | grubtech com | 51-200 | 188 | United Arab | Emirates | Dubai | Dubai | giubtech | Load contacts | ntacts | Venture Capital | 2019 | 33.4 | May 27, 2024 | Series | Addition | nla | Jahez Internationa | nla | nla | nla | nla | 4% | 7% | 22% | 33% | 40% | ""213% | 840% | nla | Al Abraj Street; 1201; Dubai; AE | nla | nla | nla | nla | ~nla"
Hicx,"Jul 28, 2025 12.57 PM",save | hide,provider that HICX is a supplier management software specializes enhancing-_ hicx com London hicx,hicx.com,51-200,Venture Capital,2004,,,Series,Wavecrest Growth Partner:,"Surrey Quays; 505; London; London SE8 SEN, GB",2% | -4% | -14% | 4% | 37% | 63% | 210% | 39%,,,"save | hide | Hicx | Jul 28, 2025 12.57 PM | provider that | HICX is a supplier management software | specializes | enhancing-_ | hicx com | 51-200 | United Kingdom | (UK) | England | London | hicx | Load contacts | ntacts | Venture Capital | 2004 | Sep 14, 2022 | Series | Wavecrest Growth Partner: | nla | Wavecrest Growth | nla | nla | nla | nla | 2% | -4% | -14% | 4% | 37% | 63% | 210% | 39% | Surrey Quays; 505; London; London SE8 SEN, GB | nla | nla | nla | nla | nla"
Higharc,"Jul 28, 2025 12.57 PM",,Higharc = that offers an intelligent platform for homebuilding software provider higharc com higharc,higharc.com,51-200,Private Equity,2018,,,Series,Ferguson Ventures Inc,"Anywhere, US OOOOO, US",0% | 6 % | 29% | 86 % | 159% | 293% | 660% | 35%,,,"Higharc | Jul 28, 2025 12.57 PM | Higharc = | that offers an intelligent platform for | homebuilding software provider | higharc com | 51-200 | 114 | United States | (USA) | New York | New York | higharc | Load contacts | ntacts | Private Equity | 2018 | Feb 14,2024 | Series | Ferguson Ventures Inc | nla | tectonic vc | nla | nla | nja | nja | 0% | 6 % | 29% | 86 % | 159% | 293% | 660% | 35% | Anywhere, US OOOOO, US | nfa | nla | nfa | nla | nla"
Hivery,"Jul 28, 2025 12.57 PM",save | hide,HIVERY is a retail technology company specializing in Al-driven solutions for_. hivery com hivery,hivery.com,51-200,Private Equity,2015,,43.4,Series,ASI Growth Partners,"Surry Hills, New South Wales 2010, AU",~66% | 90% | 98 % | 98 % | 98 % | 98 % | ~97% | 89%,,,"save | hide | Hivery | Jul 28, 2025 12.57 PM | HIVERY is a retail technology company | specializing in Al-driven solutions for_. | hivery com | 51-200 | Australia | New South Wales | Surry Hills | hivery | Load contacts | ntacts | Private Equity | 2015 | 43.4 | 29.2 | Jul 13, 2022 | Series | ASI Growth Partners | nla | The Coca-Cola Cc | nla | nla | nla | nla | ~66% | 90% | 98 % | 98 % | 98 % | 98 % | ~97% | 89% | Surry Hills, New South Wales 2010, AU | nla | nla | nla | nla | nla"
HostBooks Limited,"Jul 28, 2025 12.57 PM",save | hide,HostBooks is a business automation solutions provider that offers range of software _. hostbooks com Astbooksindia,hostbooks.com,201-500,Venture Capital,2009,,,,,"18; Gurugram, Haryana 122015,IN",1% | 9% | 8% | 8 % | 31% | 93% | 81% | 80% | -36%,,,"save | hide | HostBooks Limited | Jul 28,2025 12.57 PM | HostBooks is a business automation solutions | provider that offers | range of software _. | hostbooks com | 201-500 | 306 | India | Haryana | Gurugram | Astbooksindia | Load contacts | ntacts | Venture | Venture Capital | Capital | 2009 | Dec 15, 2024 | Series B | nla | nla | Razorpay POS | nla | nla | nia | nfa | 1% | 9% | 8% | 8 % | 31% | 93% | 81% | 80% | -36% | Ist Floor; Nimai Tower; 412-415, Phase IV, Udyog Vihar; Sector | 18; Gurugram, Haryana 122015,IN | nla | nla | nfa | nfa | nlal"
Hubilo,"Jul 28, 2025 12.57 PM",save | hide,Hubilo is a technology company specializing in webinar software and event marketing_. (USA) hubilo,hubilo.com,51-200,Venture Capital,2020,,153,,,"94111, US","9% | -11% | 11% | ~25% | 25% | -56 % | -64% | -48% | ""147% | -55%",,,"save | hide | Hubilo | Jul 28,2025 12.57 PM | Hubilo is a technology company specializing | in webinar software and event marketing_. | hubilo.com | 51-200 | 131 | (USA) | United States | California | San Francisco | hubilo | Load contacts | ntacts | Venture Capital | 2020 | 153 | 125 | Oct 11, 2021 | Series B | Alkeon Capita | Corporate | Balderton Capital | fielddrive | nla | nla | 9% | -11% | 11% | ~25% | 25% | -56 % | -64% | -48% | ""147% | -55% | 505 Montgomery Street; 1Oth floor; San Francisco, California | 94111, US | nla | nla | nla | nla | nfa"
HypaShip,"Jul 28, 2025 12.57 PM",,HypaShip is a logistics technology provider that offers modular; end-to-end platform __. Witney hwpaship,hypaship.com,51-200,Venture Capital,2011,,2017,Series,Concentric,"OX29 OYN, GB",5 % | 10% | 16% | 16 % | 16 % | 5% | -15%,,,"HypaShip | Jul 28, 2025 12.57 PM | HypaShip is a logistics technology provider | that offers | modular; end-to-end platform __. | hypaship.com | 51-200 | United Kingdom | (UK) | England | Witney | hwpaship | Load contacts | ntacts | Venture Capital | 2011 | Sep | 2017 | Series | Concentric | nla | ecIcapital com | nja | nla | nja | nja | 5 % | 10% | 16% | 16 % | 16 % | nfa | nla | 5% | -15% | First Floor; Deer Park House; Network Point; Witney; Oxfordshire | OX29 OYN, GB | nfa | nla | nfa | nla | nla"
Hyperlounge,"Jul 28, 2025 12.57 PM",save | hide,company that provides subscription-based_ 51-200 Iperlounge,hyperlounge.ai,44-41 0/0[42l2Tl is a data analysis service,Venture Capital,2020,,7.8,Series,Altara Ventures,"485443374452 130; 4s2itji2 14012; 48544,",-8% | -32% | 32% | -32% | 32% | 30% | 40% | 133%,,,"save | hide | Hyperlounge | Jul 28,2025 12.57 PM | 44-41 0/0[42l2Tl is a data analysis service | company that provides subscription-based_ | hyperlounge.ai | 51-200 | South Korea | Seoul | Seoul | Iperlounge | Load contacts | ntacts | Venture Capital | 2020 | 7.8 | 7.8 | Nov 21,,2022 | Series | Altara Ventures | nja | rkpsg com | nia | nia | nja | nja | -8% | -32% | 32% | -32% | 32% | 30% | 40% | 133% | nfa | nla | 485443374452 130; 4s2itji2 14012; 48544, | 04788,KR | nla | nfa | nfa | nla | nfal"
IdeaSoft Yazilim,"Jul 28, 2025 12.57 PM",hide,IdeaSoft is an e-commerce solutions provider that offers range cpricec including ideasoft com.tr Turkey istanbul Ayazaga ideasoft-yaz-|-m,ideasoft.com,201-500,Venture Capital,2005,,29,Series,inventures,"Cumhuriyet Mah: Libadiye Cad. Cimen Sok No:2; Istanbul,",0% | 9% | 15% | 29% | 75% | -32%,,,"ave | hide | IdeaSoft Yazilim | Jul 28, 2025 12.57 PM | IdeaSoft is an e-commerce solutions provider | that offers | range | cpricec | including | ideasoft com.tr | 201-500 | 245 | Turkey | istanbul | Ayazaga | ideasoft-yaz-|-m | Load contacts | ntacts | Venture Capital | 2005 | nla | Apr 30, 2012 | Series | inventures | nla | inventures | nla | nla | nla | 29 | nla | 0% | nla | 9% | 15% | 29% | 75% | -32% | Uskiidar; TR | Cumhuriyet Mah: Libadiye Cad. Cimen Sok No:2; Istanbul, | nla | nla | nla | nla | ~nla"
ifesca GmbH,"Jul 28, 2025 12.57 PM",save | hide,itesca GmbH is an energy management company that specializes in providing__ ifesca de ifosca ~gmbh,ifesca.de,11-50,Venture Capital,2016,,18.5,,,"Am Vogelherd 10; Ilmenau; Thuringen 98693, DE",8 % | -10% | -19% | 3% | 41% | 54%,,,"save | hide | ifesca GmbH | Jul 28,2025 12.57 PM | itesca GmbH is an energy management | company that specializes in providing__ | ifesca de | 11-50 | Germany | Thuringia | Ilmenau | ifosca | ~gmbh | Load contacts | ntacts | Venture Capital | 2016 | 18.5 | 2.2 | Feb 29,2024 | Series B | nja | nja | nla | nia | nia | nja | nja | 8 % | -10% | nla | nja | -19% | 3% | 41% | 54% | nla | Am Vogelherd 10; Ilmenau; Thuringen 98693, DE | nla | nfa | nfa | nla | nfa"
Ignite,"Jul 28, 2025 12.57 PM",save,"that provides solutions for compliance, is a sustainable procurement platform igniteprocurement",ignite.no,51-200,Venture Capital,2017,,16.4,Series,Arkwright X,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5%,,,"save | hide| | Ignite | Jul 28, 2025 12.57 PM | Ignite | that provides solutions for compliance, | is a sustainable procurement platform | ignite.no | 51-200 | Norway | Oslo | Oslo | igniteprocurement | Load contacts | ntacts | Venture Capital | 2017 | 16.4 | 4.8 | Nov | 2023 | Series | Arkwright X | nla | griegkapital.no | nla | nla | nla | nla | 2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5% | Nedre Vollgate 11; Sentrum; Oslo 0158,NO | nla | nla | nla | nla | nla"
ImageDT BEE#E,"Jul 28, 2025 12.57 PM",save | hide,Prometheus is specializing in time series data collection snecializing in time ceries data collection software company an - imagedt com imagedt:com iniagedt%e5%9b _ iniagedt%e5%9b_,hsgcap.com,51-200,Venture Capital,2016,,11.5,,,"065110665; C2809;/Wm,r5Z 510000, CN",2% | ~2% | 2% | -2% | 2% | -2% | -14% | -11% | 14% | 84%,,,"save | hide | ImageDT BEIIE | ImageDT BEE#E | Jul 28,2025 12.57 PM | Prometheus is | specializing in time series data collection | snecializing in time ceries data collection | software company | an - | imagedt com | imagedt:com | 51-200 | 48 | China | Guangdong | Guangzhou | iniagedt%e5%9b _ | iniagedt%e5%9b_ | Load contacts | ntacts | Venture Capital | 2016 | 11.5 | Oct 25,,2020 | Oct 25, 2020 | Series B | Cathay Capital | nfa | nja | hsgcap.com | nla | nia | nla | nja | nla | nja | nla | nja | 2% | ~2% | 2% | -2% | 2% | -2% | -14% | -11% | 14% | 84% | nfa | T6511066 &; C72809; CWm,r5i 510000, CN | 065110665; C2809;/Wm,r5Z 510000, CN | nla | nla | nla | nfa | nla | nfa | nla"
Impact Analytics,"Jul 28, 2025 12.57 PM",gave | hide,specializing Al-powered solutions for retai_. technology company ipact-analytics,impactanalytics.co,"501-1,000",Venture Capital,2015,,76.7,Series,Blue Cloud Ventures,"368, 9th Avenue; 11-103; New York, New York 10001, US",7% | 14% | 31% | 74% | 132% | 199% | 224% | -12%,,,"Gave | hide | Impact Analytics | Jul 28, 2025 12.57 PM | Impact Analytics | specializing | Al-powered solutions for retai_. | technology company | impactanalytics.co | 501-1,000 | 694 | United States | (USA) | New York | New York | ipact-analytics | Load contacts | ntacts | Venture Capital | 2015 | 76.7 | May | 2025 | Series | Blue Cloud Ventures | Corporate | Vistara Growth | nla | nla | nla | 65 | nla | 7% | 14% | 31% | 74% | 132% | 199% | 224% | -12% | 368, 9th Avenue; 11-103; New York, New York 10001, US | nfa | nfa | nfa | nla"
